GW_devCount_vs_appCount,GW_devCount_vs_compCount,GW_upwardBW_vs_appCount,GW_resCap_vs_demand,ES_devCount_vs_appCount,ES_devCount_vs_compCount,ES_upwardBW_vs_appCount,ES_resCap_vs_demand,is_fail
1.4285714285714286,0.06289308176100629,0.76,0.1551124457214457,2,0.0880503144654088,96,0.4882369461427122,0
1,0.046875,0.38,0.1551124457214457,2,0.0880503144654088,96,0.4882369461427122,1
1.4285714285714286,0.06289308176100629,0.38,0.1551124457214457,2,0.0880503144654088,96,0.4882369461427122,1
1.5,0.10344827586206896,0.76,0.5435687788628965,5.5,0.32558139534883723,275.5,1.7109546521311232,1
1,0.043478260869565216,0.38,0.3142188992457428,3.6666666666666665,0.15942028985507245,183.66666666666666,1.1081419010027216,1
7,0.28,29.8,0.7875177528799114,11,0.44,744,2.3598706012308663,0
0.6666666666666666,0.03669724770642202,7.45,0.07977564009416142,2.3333333333333335,0.12844036697247707,3.516666666666667,0.6752303176494522,0
0.5714285714285714,0.028985507246376812,7.3,0.06836265829877844,2,0.10144927536231885,3.0142857142857147,0.5786295092582215,0
0.5,0.025477707006369428,6.3875,0.05880588701557445,1.75,0.08917197452229299,2.6375,0.4977398830309132,0
0.5,0.025477707006369428,5.96,0.05880588701557445,1.75,0.08917197452229299,2.6375,0.4977398830309132,0
0.5714285714285714,0.027972027972027972,4.966666666666667,0.06796993970608263,1.8333333333333333,0.09322033898305085,3.0142857142857147,0.5436912617476505,0
4,0.13333333333333333,29.8,0.3576780246270116,11,0.44,21.1,2.3598706012308663,0
2,0.0975609756097561,25.55,0.2596972563859981,7,0.34146341463414637,10.55,2.198107852412488,0
1.3333333333333333,0.058823529411764705,17.033333333333335,0.1343809663680423,4.666666666666667,0.20588235294117646,7.033333333333334,1.1374161648798158,0
1.3333333333333333,0.058823529411764705,14.9,0.1343809663680423,4.666666666666667,0.20588235294117646,7.033333333333334,1.1374161648798158,0
1.3333333333333333,0.058823529411764705,9.933333333333334,0.1343809663680423,3.6666666666666665,0.20588235294117646,7.033333333333334,1.1374161648798158,0
1,0.04819277108433735,9.933333333333334,0.11229979340110868,3.5,0.1686746987951807,5.275,0.9505185427618793,0
0.8,0.041237113402061855,9.933333333333334,0.08930604808536942,2.8,0.14432989690721648,4.220000000000001,0.7558968018999901,0
0.6666666666666666,0.03669724770642202,8.516666666666667,0.07977564009416142,2.3333333333333335,0.12844036697247707,3.516666666666667,0.6752303176494522,0
0.5,0.024242424242424242,6.3875,0.05893340203529563,1.75,0.08484848484848485,2.6375,0.4988191850229721,1
0.4444444444444444,0.021505376344086023,5.677777777777778,0.04962622144684389,1.5555555555555556,0.07526881720430108,2.3444444444444446,0.42004212353222986,1
0.5,0.025477707006369428,4.966666666666667,0.05880588701557445,1.75,0.08917197452229299,2.6375,0.4977398830309132,1
0.4444444444444444,0.023391812865497075,5.677777777777778,0.05544502459173678,1.5555555555555556,0.08187134502923976,2.3444444444444446,0.4692931516810245,1
0.5,0.025477707006369428,4.257142857142857,0.05880588701557445,1.5714285714285714,0.08148148148148149,2.6375,0.4834793572791051,1
0.5,0.025477707006369428,4.257142857142857,0.05880588701557445,1.5714285714285714,0.08917197452229299,2.6375,0.4977398830309132,1
0.5,0.025477707006369428,4.966666666666667,0.05880588701557445,1.75,0.08917197452229299,2.6375,0.4977398830309132,1
0.5,0.025477707006369428,4.257142857142857,0.05880588701557445,1.5714285714285714,0.08917197452229299,2.6375,0.4977398830309132,1
0.4444444444444444,0.024844720496894408,4.966666666666667,0.05735598320065192,1.5555555555555556,0.08695652173913043,2.3444444444444446,0.48546772811801325,1
0.4444444444444444,0.023809523809523808,4.966666666666667,0.0544464609800363,1.5555555555555556,0.08333333333333333,2.3444444444444446,0.46084119286344744,1
0.5,0.025477707006369428,4.257142857142857,0.05880588701557445,1.5714285714285714,0.07333333333333333,2.6375,0.4148611534940495,1
0.5,0.025477707006369428,4.257142857142857,0.05880588701557445,1.5714285714285714,0.08917197452229299,2.6375,0.4977398830309132,1
4,0.15384615384615385,49.3,0.41637486471000185,6,0.23076923076923078,390,2.719806455720379,0
0.6666666666666666,0.02857142857142857,4.425,0.08228174578211692,1,0.04285714285714286,28,0.5374734219896077,0
2,0.056338028169014086,24.65,0.177428106348345,3,0.08450704225352113,195,1.1589799240368956,0
1.3333333333333333,0.046511627906976744,16.433333333333334,0.15058021735126167,2,0.06976744186046512,130,0.9836065573770486,0
1.3333333333333333,0.046511627906976744,16.433333333333334,0.15058021735126167,2,0.06976744186046512,112,0.9836065573770486,0
1.3333333333333333,0.046511627906976744,8.85,0.15058021735126167,2,0.06976744186046512,56,0.9836065573770486,0
1,0.03305785123966942,8.85,0.09914047933057436,1.5,0.049586776859504134,56,0.6475965255354948,0
0.8,0.031496062992125984,8.85,0.09205692327182129,1.2,0.047244094488188976,56,0.6013259575186858,0
0.8,0.031496062992125984,5.8999999999999995,0.09205692327182129,1.2,0.047244094488188976,37.333333333333336,0.6013259575186858,0
0.8,0.031496062992125984,4.425,0.09205692327182129,1.2,0.047244094488188976,28,0.6013259575186858,0
0.5714285714285714,0.025974025974025976,4.425,0.07417573069899851,0.8571428571428571,0.03896103896103896,28,0.484524039061348,1
0.5714285714285714,0.022857142857142857,4.425,0.06331380996176,0.8571428571428571,0.03428571428571429,28,0.4135727769979185,1
0.6666666666666666,0.02857142857142857,3.54,0.08228174578211692,1,0.04285714285714286,22.4,0.5374734219896077,1
0.5714285714285714,0.0273972602739726,4.425,0.08019324856228464,0.8571428571428571,0.0410958904109589,28,0.5238311282233639,1
0.6666666666666666,0.026845637583892617,4.425,0.07886073965103517,1,0.040268456375838924,28,0.5151270333168536,1
0.6666666666666666,0.02857142857142857,4.425,0.08228174578211692,1,0.04285714285714286,28,0.5374734219896077,1
1,0.03305785123966942,5.8999999999999995,0.09914047933057436,1.5,0.049586776859504134,37.333333333333336,0.6475965255354948,1
0.8,0.031496062992125984,8.85,0.09205692327182129,1.2,0.047244094488188976,37.333333333333336,0.6013259575186858,1
0.8,0.031496062992125984,5.8999999999999995,0.09205692327182129,1.2,0.047244094488188976,37.333333333333336,0.6013259575186858,1
0.8,0.031496062992125984,5.8999999999999995,0.09205692327182129,1.2,0.047244094488188976,37.333333333333336,0.6013259575186858,1
0.6666666666666666,0.02631578947368421,8.216666666666667,0.07375995308235399,1,0.039473684210526314,56,0.4818081338957435,1
0.8,0.031496062992125984,5.8999999999999995,0.09205692327182129,1.2,0.047244094488188976,37.333333333333336,0.6013259575186858,1
0.6666666666666666,0.02531645569620253,8.216666666666667,0.07654763158818778,1,0.0379746835443038,56,0.5000175567962357,1
0.8,0.031496062992125984,5.8999999999999995,0.09205692327182129,1.2,0.047244094488188976,37.333333333333336,0.6013259575186858,1
0.8,0.031496062992125984,4.425,0.09205692327182129,1.2,0.047244094488188976,28,0.6013259575186858,1
0.8,0.031496062992125984,5.8999999999999995,0.09205692327182129,1.2,0.047244094488188976,28,0.6013259575186858,1
6,0.75,1.25,2.311315165876777,9,1.125,324,21.45527251184834,0
0.4,0.022222222222222223,0.3125,0.1423534375906538,2.25,0.17777777777777778,81,0.6825311848941165,0
3,0.2857142857142857,0.625,0.9099112002291608,4.5,0.42857142857142855,162,7.962403322830136,0
2,0.08333333333333333,0.625,0.34194222729000384,4.5,0.42857142857142855,162,1.6394843532243761,0
1,0.05128205128205128,0.625,0.2526988436870934,4.5,0.41025641025641024,162,1.211595899068396,0
0.6666666666666666,0.03636363636363636,0.625,0.18926054486168092,4.5,0.2909090909090909,162,0.9074331194558397,0
0.6666666666666666,0.03636363636363636,0.4166666666666667,0.18926054486168092,3,0.2909090909090909,108,0.9074331194558397,0
0.6666666666666666,0.03636363636363636,0.3125,0.18926054486168092,2.25,0.2909090909090909,81,0.9074331194558397,0
0.5,0.025,0.3125,0.14918331813282482,2.25,0.2,81,0.7152778929331454,0
0.4,0.022222222222222223,0.3125,0.1423534375906538,2.25,0.17777777777777778,81,0.6825311848941165,0
0.4,0.022222222222222223,0.25,0.1423534375906538,1.8,0.12857142857142856,64.8,0.6825311848941165,1
0.4,0.022222222222222223,0.3125,0.09906957999684605,2.25,0.125,81,0.4534860086558848,1
0.3333333333333333,0.02040816326530612,0.25,0.12707220038136494,1.8,0.16326530612244897,64.8,0.6092634007391888,1
0.4,0.022222222222222223,0.25,0.1423534375906538,1.8,0.17777777777777778,64.8,0.6825311848941165,1
2,0.08333333333333333,0.4166666666666667,0.34194222729000384,3,0.16363636363636364,108,1.6394843532243761,1
0.6666666666666666,0.03225806451612903,0.625,0.17277703091991556,4.5,0.25806451612903225,162,0.8284008706228796,1
1,0.05128205128205128,0.4166666666666667,0.2526988436870934,3,0.17647058823529413,108,1.211595899068396,1
0.6666666666666666,0.03636363636363636,0.4166666666666667,0.18926054486168092,3,0.2909090909090909,108,0.9074331194558397,1
0.5,0.02247191011235955,0.5775,0.12901907356948236,4,0.1797752808988764,162,0.618597925331039,1
0.5,0.031746031746031744,0.4166666666666667,0.1559410660118446,3,0.25396825396825395,108,0.7476787519861332,1
0.6666666666666666,0.03636363636363636,0.25,0.18926054486168092,1.8,0.15,64.8,0.9074331194558397,1
0.6666666666666666,0.03636363636363636,0.25,0.18926054486168092,1.8,0.19148936170212766,64.8,0.9074331194558397,1
0.5,0.027777777777777776,0.3125,0.12751346499102337,2.25,0.2222222222222222,81,0.6113790985542853,1
0.5,0.025,0.25,0.14918331813282482,1.8,0.12,64.8,0.7152778929331454,1
0.5,0.025,0.25,0.14918331813282482,1.8,0.2,64.8,0.7152778929331454,1
6,0.4,34.6,1.3171129666954606,10,0.6666666666666666,362,2.1165083021403213,0
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,2,0.10204081632653061,30.8,0.44718228459027026,0
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,2,0.10204081632653061,30.8,0.44718228459027026,0
4,0.2,2.01,0.3042323910666875,10,0.6666666666666666,154,2.1165083021403213,0
2,0.06896551724137931,1.005,0.13192022483323734,7.5,0.25862068965517243,77,2.1165083021403213,0
2,0.06896551724137931,1.005,0.13192022483323734,5,0.25862068965517243,77,1.4311980789200418,0
2,0.06896551724137931,1.005,0.13192022483323734,3.3333333333333335,0.18867924528301888,77,0.6885839188134268,0
1.3333333333333333,0.047619047619047616,0.6699999999999999,0.09446451519045654,3.3333333333333335,0.17857142857142858,51.333333333333336,0.6885839188134268,0
1,0.0392156862745098,0.5025,0.07649346422024636,3.3333333333333335,0.14705882352941177,38.5,0.6885839188134268,0
1.3333333333333333,0.05263157894736842,0.6699999999999999,0.10110814107388467,2.5,0.11764705882352941,51.333333333333336,0.5323459830050213,0
1,0.0392156862745098,0.5025,0.07649346422024636,2,0.10204081632653061,38.5,0.44718228459027026,0
0.6666666666666666,0.03076923076923077,0.33499999999999996,0.062122299290440865,2,0.10204081632653061,25.666666666666668,0.44718228459027026,1
0.6666666666666666,0.03225806451612903,0.33499999999999996,0.05986754152772868,2,0.10204081632653061,25.666666666666668,0.44718228459027026,1
0.6666666666666666,0.031496062992125984,0.33499999999999996,0.061316671650482366,2,0.10204081632653061,25.666666666666668,0.44718228459027026,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.09090909090909091,30.8,0.3908248263150433,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.07751937984496124,30.8,0.3636287184222676,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.07751937984496124,30.8,0.3266948148148148,1
0.8,0.034782608695652174,0.40199999999999997,0.06617859387474306,1.6666666666666667,0.078125,30.8,0.31643755022385495,1
